Time,TimeLsl,Value
1657188337.59194,1941505.2500539,-7
1657188337.59194,1941505.2500683,-12
1657188337.59194,1941505.2500709,-26
1657188337.59194,1941505.2500729,-38
1657188337.59194,1941505.2500749,-31
1657188337.59194,1941505.2500903,-19
1657188337.59194,1941505.2500922,-16
1657188337.59194,1941505.250094,-24
1657188337.59194,1941505.2500959,-29
1657188337.59194,1941505.2501129,-26
1657188337.59194,1941505.250115,-14
1657188337.59194,1941505.2501169,-2
1657188337.59194,1941505.2501188,0
1657188337.59194,1941505.2501207,-2
1657188337.59194,1941505.2501225,-7
1657188337.59194,1941505.2501246,-14
1657188337.59194,1941505.2501279,-14
1657188337.59194,1941505.2501302,-9
1657188337.59194,1941505.2501322,-2
1657188337.59194,1941505.2501342,-4
1657188337.59194,1941505.2501361,-9
1657188337.59194,1941505.2501386,-2
1657188337.59194,1941505.2501406,7
1657188337.59194,1941505.2501425,7
1657188337.59194,1941505.2501449,9
1657188337.59194,1941505.2501471,9
1657188337.59194,1941505.250153,16
1657188337.59194,1941505.250163,26
1657188337.59194,1941505.2501687,21
1657188337.59194,1941505.2501783,9
1657188337.59194,1941505.2501859,19
1657188337.59194,1941505.2501883,36
1657188337.59194,1941505.2501942,33
1657188337.59194,1941505.2502075,38
1657188337.59194,1941505.2502161,41
1657188337.59194,1941505.2502186,36
1657188337.59194,1941505.2502207,48
1657188337.59194,1941505.2502227,50
1657188337.59194,1941505.2502259,36
1657188337.59194,1941505.2502351,50
1657188337.59194,1941505.2502473,58
1657188337.59194,1941505.2502506,50
1657188337.59194,1941505.2502564,65
1657188337.59194,1941505.2502692,70
1657188337.59194,1941505.2502773,58
1657188337.59194,1941505.2502797,65
1657188337.59194,1941505.2502818,75
1657188337.59194,1941505.2502839,79
1657188337.59194,1941505.2502874,94
1657188337.59194,1941505.2502992,84
1657188337.65299,1941505.2503105,58
1657188337.65299,1941505.2503141,62
1657188337.65299,1941505.2503174,65
1657188337.65299,1941505.2503235,53
1657188337.65299,1941505.2503366,48
1657188337.65299,1941505.2503489,50
