Time,TimeLsl,Value
1659100285.53639,419642.1592835,38
1659100285.53639,419642.1593007,48
1659100285.53639,419642.1593105,62
1659100285.53639,419642.1593152,72
1659100285.53639,419642.1593214,72
1659100285.53639,419642.1593278,62
1659100285.53639,419642.1593346,62
1659100285.53639,419642.1593382,64
1659100285.53639,419642.1593412,67
1659100285.53639,419642.1593442,84
1659100285.53639,419642.1593494,88
1659100285.53639,419642.1593594,81
1659100285.53639,419642.1593679,88
1659100285.53639,419642.1594188,110
1659100285.53639,419642.1594287,129
1659100285.53639,419642.1594345,139
1659100285.53639,419642.1594392,117
1659100285.53639,419642.159446,72
1659100285.53639,419642.1594553,60
1659100285.53639,419642.1594624,74
1659100285.53639,419642.1594707,60
1659100285.53639,419642.1594747,50
1659100285.53639,419642.1594816,62
1659100285.53639,419642.1594866,52
1659100285.53639,419642.159492,40
1659100285.53639,419642.1594955,67
1659100285.53639,419642.1595009,81
1659100285.53639,419642.1595045,62
1659100285.53639,419642.159508,57
1659100285.53639,419642.1595153,62
1659100285.53639,419642.1595218,52
1659100285.53639,419642.1595254,50
1659100285.53639,419642.1595287,64
1659100285.53639,419642.1595337,72
1659100285.53639,419642.1595403,67
1659100285.53639,419642.1595452,69
1659100285.53639,419642.1595531,79
1659100285.53639,419642.1595595,72
1659100285.53639,419642.159563,64
1659100285.53639,419642.1595685,79
1659100285.53639,419642.1595721,96
1659100285.53639,419642.1595762,88
1659100285.53639,419642.1595855,79
1659100285.53639,419642.1595923,84
1659100285.53639,419642.1595959,86
1659100285.53639,419642.1596016,74
1659100285.53639,419642.159606,57
1659100285.53639,419642.1596124,52
1659100285.53639,419642.1596175,48
1659100285.53639,419642.1596249,48
1659100285.67405,419642.1596326,55
1659100285.67405,419642.1596406,52
1659100285.67405,419642.1596484,50
1659100285.67405,419642.1596556,64
1659100285.67405,419642.1596638,74
1659100285.67405,419642.1596695,74
1659100285.67405,419642.1596763,67
1659100285.67405,419642.159682,60
1659100285.67405,419642.1596892,50
1659100285.67405,419642.159695,50
1659100285.67405,419642.159702,55
1659100285.67405,419642.159709,57
1659100285.67405,419642.1597125,52
1659100285.67405,419642.1597183,72
1659100285.67405,419642.1597259,208
1659100285.67405,419642.1597314,499
1659100285.67405,419642.1597356,792
