Time,TimeLsl,Value
1657725415.3887,202481.8006277,83
1657725415.3887,202481.8006467,86
1657725415.3887,202481.8006564,90
1657725415.3887,202481.8006634,90
1657725415.3887,202481.8006698,88
1657725415.3887,202481.8006763,86
1657725415.3887,202481.8006803,83
1657725415.3887,202481.8006864,71
1657725415.3887,202481.8006916,59
1657725415.3887,202481.8006979,57
1657725415.3887,202481.800702,59
1657725415.3887,202481.8007067,62
1657725415.3887,202481.8007135,62
1657725415.3887,202481.8007183,55
1657725415.3887,202481.8007242,45
1657725415.3887,202481.8007287,52
1657725415.3887,202481.8007349,62
1657725415.3887,202481.8007404,69
1657725415.3887,202481.8007463,71
1657725415.3887,202481.8007522,74
1657725415.3887,202481.8007632,74
1657725415.3887,202481.8007677,76
1657725415.3887,202481.8007712,81
1657725415.3887,202481.8007769,83
1657725415.3887,202481.8007807,81
1657725415.3887,202481.8007845,76
1657725415.3887,202481.8007897,76
1657725415.3887,202481.8007939,76
1657725415.3887,202481.8007997,76
1657725415.3887,202481.8008078,78
1657725415.3887,202481.8008117,78
1657725415.3887,202481.8008175,78
1657725415.3887,202481.8008228,76
1657725415.3887,202481.8008259,74
1657725415.3887,202481.8008308,76
1657725415.3887,202481.8008367,81
1657725415.3887,202481.8008423,83
1657725415.3887,202481.800849,88
1657725415.3887,202481.8008538,88
1657725415.3887,202481.8008631,83
1657725415.3887,202481.8008693,83
1657725415.3887,202481.8008776,86
1657725415.3887,202481.8008879,86
1657725415.3887,202481.8008955,76
1657725415.3887,202481.800902,69
1657725415.3887,202481.8009104,62
1657725415.3887,202481.8009167,71
1657725415.3887,202481.8009269,95
1657725415.3887,202481.8009364,119
1657725415.3887,202481.8009415,138
1657725415.51052,202481.80095,148
1657725415.51052,202481.8009568,129
1657725415.51052,202481.8009623,98
1657725415.51052,202481.8009656,88
1657725415.51052,202481.8009688,100
1657725415.51052,202481.800972,100
1657725415.51052,202481.8009752,93
1657725415.51052,202481.8009831,90
1657725415.51052,202481.8009917,78
1657725415.51052,202481.8009975,88
1657725415.51052,202481.8010058,232
1657725415.51052,202481.8010115,523
1657725415.51052,202481.8010175,760
1657725415.51052,202481.8010228,464
1657725415.51052,202481.8010273,-313
1657725415.51052,202481.8010344,-545
1657725415.51052,202481.8010412,-141
1657725415.51052,202481.8010522,9
1657725415.51052,202481.8010652,-38
1657725415.51052,202481.8010804,57
1657725415.51052,202481.8010942,90
1657725415.51052,202481.8011029,40
1657725415.51052,202481.8011131,55
1657725415.51052,202482.5318514,78
1657725415.51052,202482.5318642,69
1657725415.51052,202482.5318678,66
1657725415.51052,202482.53187,71
1657725415.51052,202482.531872,66
1657725415.51052,202482.5318739,69
1657725415.51052,202482.5318758,76
1657725415.51052,202482.5318778,74
1657725415.51052,202482.5318797,74
1657725415.51052,202482.5318816,76
1657725415.51052,202482.5318841,64
1657725415.51052,202482.5318862,57
1657725415.51052,202482.5318922,66
1657725415.51052,202482.5319002,74
1657725415.51052,202482.5319049,71
1657725415.51052,202482.5319112,71
1657725415.51052,202482.5319198,52
1657725415.51052,202482.5319266,35
1657725415.51052,202482.5319339,43
1657725415.51052,202482.5319426,45
1657725415.51052,202482.531947,35
1657725415.51052,202482.5319601,31
1657725415.51052,202482.5319709,28
1657725415.51052,202482.5319801,19
1657725415.51052,202482.5319934,14
1657725415.51052,202482.5320028,16
1657725415.51052,202482.5320155,23
1657725415.55537,202482.5320262,28
1657725415.55537,202482.5320358,28
1657725415.55537,202482.5320488,31
1657725415.55537,202482.5320593,40
1657725415.55537,202482.5320701,35
1657725415.55537,202482.5320814,26
1657725415.55537,202482.5320898,21
1657725415.55537,202482.5321012,26
1657725415.55537,202482.5321119,23
1657725415.55537,202482.5321221,16
1657725415.55537,202482.5321335,28
1657725415.55537,202482.5321423,45
1657725415.55537,202482.5321553,45
1657725415.55537,202482.532166,45
1657725415.55537,202482.5321761,52
1657725415.55537,202482.5321885,62
1657725415.55537,202482.532198,69
1657725415.55537,202482.5322043,69
1657725415.55537,202482.5322169,66
1657725415.55537,202482.5322262,81
1657725415.55537,202482.5322382,90
1657725415.55537,202482.5322493,81
1657725415.55537,202482.5322585,69
1657725415.55537,202482.5322712,64
1657725415.55537,202482.5322809,59
1657725415.55537,202482.5322922,59
1657725415.55537,202482.5323324,57
1657725415.55537,202482.5323473,55
1657725415.55537,202482.5323585,57
1657725415.55537,202482.5323671,57
1657725415.55537,202482.53238,59
1657725415.55537,202482.532389,64
1657725415.55537,202482.532402,62
1657725415.55537,202482.5324128,62
1657725415.55537,202482.5324239,64
1657725415.55537,202482.5324349,62
1657725415.55537,202482.532443,64
1657725415.55537,202482.5324541,64
1657725415.55537,202482.5324658,52
1657725415.55537,202482.532475,45
1657725415.55537,202482.5324873,47
1657725415.55537,202482.5324985,57
1657725415.55537,202482.5325064,78
1657725415.55537,202482.5325175,107
1657725415.55537,202482.5325287,131
1657725415.55537,202482.5325366,138
1657725415.55537,202482.9223033,119
1657725415.55537,202482.9223237,93
1657725415.55537,202482.9223302,90
1657725415.55537,202482.9223372,102
1657725415.57432,202482.9223441,107
1657725415.57432,202482.9223485,110
1657725415.57432,202482.9223525,110
1657725415.57432,202482.9223561,100
1657725415.57432,202482.9223598,131
1657725415.57432,202482.9223636,322
1657725415.57432,202482.9223682,681
1657725415.57432,202482.9223749,839
1657725415.57432,202482.9223827,253
1657725415.57432,202482.9223881,-547
1657725415.57432,202482.9223939,-485
1657725415.57432,202482.922402,-40
1657725415.57432,202482.9224161,-9
1657725415.57432,202482.9224259,-11
1657725415.57432,202482.922435,110
1657725415.57432,202482.9224431,102
1657725415.57432,202482.9224512,62
1657725415.57432,202482.9224577,98
1657725415.57432,202482.9224633,110
1657725415.57432,202482.9224666,95
1657725415.57432,202482.9224715,102
1657725415.57432,202482.9224757,105
1657725415.57432,202482.9224794,86
1657725415.57432,202482.9224848,81
1657725415.57432,202482.9224886,93
1657725415.57432,202482.9224944,98
1657725415.57432,202482.9225018,100
1657725415.57432,202482.9225124,105
1657725415.57432,202482.922516,105
1657725415.57432,202482.9225267,105
1657725415.57432,202482.9225401,112
1657725415.57432,202482.9225549,117
1657725415.57432,202482.9225647,122
1657725415.57432,202482.922573,124
1657725415.57432,202482.9225792,119
1657725415.57432,202482.9225882,114
1657725415.57432,202482.9225961,114
1657725415.57432,202482.9226081,114
1657725415.57432,202482.9226172,110
1657725415.57432,202482.9226247,95
1657725415.57432,202482.9226337,81
1657725415.57432,202482.922639,74
1657725415.57432,202482.9226477,71
1657725415.57432,202482.922654,69
1657725415.57432,202482.9226668,74
1657725415.57432,202482.922677,78
1657725415.57432,202482.9226849,74
1657725415.57432,202482.9226927,74
1657725415.57432,202482.9226994,71
1657725415.57432,202482.9227037,69
1657725415.58429,202482.9227097,69
1657725415.58429,202482.9227137,66
1657725415.58429,202482.9227192,64
1657725415.58429,202482.9227255,62
1657725415.58429,202482.9227316,57
1657725415.58429,202482.9227355,62
1657725415.58429,202482.9227396,71
1657725415.58429,202482.9227454,78
1657725415.58429,202482.9227503,86
1657725415.58429,202482.922756,93
1657725415.58429,202482.9227616,98
1657725415.58429,202482.9227687,100
1657725415.58429,202482.9227728,102
1657725415.58429,202482.922778,110
1657725415.58429,202482.9227817,114
1657725415.58429,202482.9227891,117
1657725415.58429,202482.922793,114
1657725415.58429,202482.9227983,110
1657725415.58429,202482.9228026,107
1657725415.58429,202483.4582353,107
1657725415.58429,202483.458248,107
1657725415.58429,202483.4582521,110
1657725415.88674,202483.4582544,107
1657725415.88674,202483.4582565,105
1657725415.88674,202483.4582586,105
1657725415.88674,202483.4582606,105
1657725415.88674,202483.4582625,102
1657725415.88674,202483.4582645,102
1657725415.88674,202483.4582663,100
1657725415.88674,202483.4582683,88
1657725415.88674,202483.4582702,78
1657725415.88674,202483.4582721,81
1657725415.88674,202483.4582743,88
1657725415.88674,202483.4582769,86
1657725415.88674,202483.4582836,81
1657725415.88674,202483.458292,62
1657725415.88674,202483.4582967,38
1657725415.88674,202483.4583013,38
1657725415.88674,202483.4583077,59
1657725415.88674,202483.4583131,78
1657725415.88674,202483.4583222,102
1657725415.88674,202483.4583264,126
1657725415.88674,202483.4583412,126
1657725415.88674,202483.4583487,100
1657725415.88674,202483.4583526,81
1657725415.88674,202483.4583546,83
1657725415.88674,202483.4583569,95
1657725415.88674,202483.4583664,100
1657725415.88674,202483.4583758,95
1657725415.88674,202483.4583784,90
1657725415.88674,202483.4583805,95
1657725415.88674,202483.4583846,169
1657725415.88674,202483.458392,387
1657725415.88674,202483.4583985,679
1657725415.88674,202483.4584052,684
1657725415.88674,202483.4584093,59
1657725415.88674,202483.4584151,-526
1657725415.88674,202483.4584192,-320
1657725415.88674,202483.4584247,14
1657725415.88674,202483.4584288,-14
1657725415.88674,202483.4584327,9
1657725415.88674,202483.4584404,93
1657725415.88674,202483.4584446,59
1657725415.88674,202483.4584487,43
1657725415.88674,202483.4584549,74
1657725415.88674,202483.4584587,69
1657725415.88674,202483.4584639,57
1657725415.88674,202483.4584674,66
1657725415.88674,202483.4584728,74
1657725415.88674,202483.4584766,66
1657725415.88674,202483.4584824,64
1657725415.88674,202483.4584883,69
1657725415.90668,202483.4584925,71
1657725415.90668,202483.4584983,71
1657725415.90668,202483.4585024,74
1657725415.90668,202483.458509,74
1657725415.90668,202483.458514,76
1657725415.90668,202483.45852,78
1657725415.90668,202483.4585249,78
1657725415.90668,202483.4585318,83
1657725415.90668,202483.4585351,90
1657725415.90668,202483.4585407,86
1657725415.90668,202483.4585448,74
1657725415.90668,202483.4585502,74
1657725415.90668,202483.4585555,71
1657725415.90668,202483.4585609,59
1657725415.90668,202483.4585654,52
1657725415.90668,202483.4585714,52
1657725415.90668,202483.4585753,43
1657725415.90668,202483.4585794,38
1657725415.90668,202483.4585853,47
1657725415.90668,202483.4585895,52
1657725415.90668,202484.0926214,47
1657725415.90668,202484.0926392,57
1657725415.90668,202484.0926489,62
1657725415.90668,202484.0926543,52
1657725416.41665,202484.0926645,47
1657725416.41665,202484.0926732,47
1657725416.41665,202484.0926797,43
1657725416.41665,202484.0926835,28
1657725416.41665,202484.0926886,11
1657725416.41665,202484.0926941,14
1657725416.41665,202484.0927008,31
1657725416.41665,202484.0927054,35
1657725416.41665,202484.0927143,33
1657725416.41665,202484.0927233,23
1657725416.41665,202484.0927277,21
1657725416.41665,202484.0927373,38
1657725416.41665,202484.0927493,43
1657725416.41665,202484.0927595,35
1657725416.41665,202484.0927682,43
1657725416.41665,202484.0927785,57
1657725416.41665,202484.0927889,57
1657725416.41665,202484.0927971,43
1657725416.41665,202484.0928093,35
1657725416.41665,202484.0928186,47
1657725416.41665,202484.0928238,57
1657725416.41665,202484.0928314,50
1657725416.41665,202484.092838,38
1657725416.41665,202484.0928458,43
1657725416.41665,202484.0928519,38
1657725416.41665,202484.0928595,28
1657725416.41665,202484.0928655,38
1657725416.41665,202484.0928731,38
1657725416.41665,202484.0928791,35
1657725416.41665,202484.0928865,35
1657725416.41665,202484.0928926,38
1657725416.41665,202484.0929003,43
1657725416.41665,202484.0929077,43
1657725416.41665,202484.0929137,43
1657725416.41665,202484.0929212,52
1657725416.41665,202484.0929271,50
1657725416.41665,202484.0929362,35
1657725416.41665,202484.0929492,33
1657725416.41665,202484.0929628,33
1657725416.41665,202484.0929703,31
1657725416.41665,202484.0929728,55
1657725416.41665,202484.0929749,88
1657725416.41665,202484.0929769,100
1657725416.41665,202484.0929818,112
1657725416.41665,202484.0929929,105
1657725416.41665,202484.0929997,81
1657725416.41665,202484.0930018,81
1657725416.41665,202484.093004,90
1657725416.41665,202484.0930111,81
1657725416.41665,202484.0930217,69
1657725416.42762,202484.093026,76
1657725416.42762,202484.0930281,86
1657725416.42762,202484.0930308,98
1657725416.42762,202484.0930413,239
1657725416.42762,202484.0930487,583
1657725416.42762,202484.0930511,868
1657725416.42762,202484.0930555,442
1657725416.42762,202484.0930585,-471
1657725416.42762,202484.0930701,-617
1657725416.42762,202484.0930765,-122
1657725416.42762,202484.0930841,-2
1657725416.42762,202484.0930895,-55
