Time,TimeLsl,Value
1658569769.90447,342120.3259928,46
1658569769.90447,342120.3260132,36
1658569769.90447,342120.3260234,36
1658569769.90447,342120.3260316,46
1658569769.90447,342120.3260408,38
1658569769.90447,342120.3260479,29
1658569769.90447,342120.3260553,29
1658569769.90447,342120.3260625,21
1658569769.90447,342120.3260684,12
1658569769.90447,342120.3260755,12
1658569769.90447,342120.3260847,21
1658569769.90447,342120.326094,26
1658569769.90447,342120.3261031,19
1658569769.90447,342120.3261085,4
1658569769.90447,342120.3261158,-4
1658569769.90447,342120.3261247,7
1658569769.90447,342120.3261339,17
1658569769.90447,342120.3261623,9
1658569769.90447,342120.3261738,12
1658569769.90447,342120.3261808,17
1658569769.90447,342120.3261862,4
1658569769.90447,342120.3261935,-2
1658569769.90447,342120.3262026,4
1658569769.90447,342120.3262115,7
1658569769.90447,342120.3262193,12
1658569769.90447,342120.3262235,14
1658569769.90447,342120.3262266,12
1658569769.90447,342120.3262296,24
1658569769.90447,342120.3262326,29
1658569769.90447,342120.3262355,21
1658569769.90447,342120.3262386,26
1658569769.90447,342120.3262417,36
1658569769.90447,342120.3262447,34
1658569769.90447,342120.3262476,34
1658569769.90447,342120.3262506,53
1658569769.90447,342120.3262535,80
1658569769.90447,342120.3262565,109
1658569769.90447,342120.3262594,131
1658569769.90447,342120.3262624,128
1658569769.90447,342120.3262689,119
1658569769.90447,342120.3262735,116
1658569769.90447,342120.3262802,102
1658569769.90447,342120.3262873,68
1658569769.90447,342120.3262943,43
1658569769.90447,342120.3263005,43
1658569769.90447,342120.3263064,48
1658569769.90447,342120.3263136,51
1658569769.90447,342120.3263207,51
1658569769.90447,342120.326328,46
1658569769.90447,342120.3263351,51
1658569770.05094,342120.3263414,121
1658569770.05094,342120.3263487,384
1658569770.05094,342120.3263567,837
1658569770.05094,342120.3263641,1172
1658569770.05094,342120.3263735,970
1658569770.05094,342120.3263789,238
1658569770.05094,342120.3263849,-345
1658569770.05094,342120.3263911,-284
1658569770.05094,342120.326398,-29
1658569770.05094,342120.3264049,-12
1658569770.05094,342120.3264118,-43
1658569770.05094,342120.3264191,2
1658569770.05094,342120.3264264,14
1658569770.05094,342120.326432,14
1658569770.05094,342120.326439,36
1658569770.05094,342120.3264461,51
1658569770.05094,342120.3264532,53
1658569770.05094,342120.3264603,65
1658569770.05094,342120.3264671,82
